experiment_num,dataset,phenotype,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test,gp_runtime_seconds,eval_time_seconds,eval_memory_mb,total_memory_mb
1,Electricity,1~(00.99999 56.96205 59.69643 24.03779 16.29409 07.77871 34.97377 36.11336 26.97207 97.03574):sarima;(01.12755 53.22697 12.00705 22.05381 05.75918 02.95332 69.71078 70.35746 50.11272 05.69742):svr,0.000301663711459244,0.017368468886440277,0.9822019621627451,0.0013029593909856334,0.03609652879413246,0.925663134903347,0.0021212742653941856,0.046057293292096374,0.8567976450114247,23.264787912368774,0.5274770259857178,1.328125,287.578125
2,Electricity,1~(00.99999 43.32115 67.42246 56.03502 76.04803 77.55647 07.24496 70.95813 28.75462 89.98120):sarima;(01.12724 25.06436 58.12087 01.12503 21.55955 09.29277 93.03504 96.58177 44.77503 02.99803):svr,0.00030166373743950755,0.01736846963435488,0.9822019606299199,0.0013029182293513586,0.03609595862906759,0.9256654832703609,0.0021212402178919804,0.04605692366943303,0.856799943480122,23.125831127166748,0.5672252178192139,0.3125,287.921875
3,Electricity,1~(00.99999 86.20962 16.13681 21.66186 53.93511 48.07653 27.64361 32.07411 92.62529 41.65620):sarima;(01.13000 80.11370 00.94643 18.32374 11.92074 11.92685 93.80159 13.42216 36.81731 10.09453):svr,0.0003016668280615721,0.0173685586063315,0.9822017782844593,0.0013033007521591575,0.03610125693323098,0.9256436594540881,0.002121560870740082,0.046060404587238285,0.8567782969425992,22.851391315460205,0.5744597911834717,1.203125,289.203125
4,Electricity,1~(00.99999 91.62788 99.03696 76.18595 10.96008 88.42781 95.28378 64.33993 04.22062 99.40122):arima;(01.12715 63.48601 29.15405 09.42236 14.44012 48.60112 15.40520 42.23860 12.34424 32.95133):svr,0.00030166381962531155,0.017368472000303066,0.9822019557809906,0.0013029063012135642,0.036095793400527494,0.9256661637983775,0.0021212308659136077,0.04605682214301816,0.8568005748107087,22.923274040222168,0.5758368968963623,0.015625,289.234375
5,Electricity,3~(00.09887 00.29999 00.60003 29.45167 76.16484 00.79502 23.06906 93.27278 45.61188 91.77239):arima;(01.12020 01.00107 00.00020 11.18859 70.56001 67.72390 75.90079 03.82306 06.09327 78.19561):svr,0.003244158385928983,0.05695751386717105,0.808595957984119,0.011611216152471482,0.10775535324275766,0.33755310049884124,0.026398217124527595,0.16247528158008404,-0.7820830250017752,23.788266897201538,0.5238080024719238,0.125,289.359375
6,Electricity,1~(00.99997 21.41989 18.26581 67.48853 87.28431 91.97254 11.37237 32.78874 37.67487 02.13478):sarima;(01.12753 10.47898 31.11319 19.72543 13.74302 34.78274 11.27634 04.78933 27.08031 72.84319):svr,0.00030166412526315634,0.017368480798940256,0.9822019377484804,0.001302888169212098,0.03609554223463194,0.9256671982712523,0.002121048851327282,0.04605484612206713,0.8568128621975071,22.974174976348877,0.5642449855804443,0.015625,289.40625
7,Electricity,1~(00.99999 78.22578 27.27822 99.93960 48.90005 65.88845 80.09257 07.89996 54.87002 83.30387):sarima;(01.09999 30.02563 53.47845 58.25788 72.78128 99.39618 85.82578 27.26812 99.16588 45.18009):svr,0.00030204910848664245,0.01737956007747729,0.9821792238928921,0.0013009991559889797,0.036069365893913075,0.9257749708711539,0.0021204491004287954,0.04604833439364333,0.8568533500035729,22.741283178329468,0.5667781829833984,0.0,289.40625
8,Electricity,1~(01.00011 13.45358 89.57550 23.71204 81.52151 82.95217 21.18699 03.47566 61.25873 11.08987):sarima;(01.12753 35.47566 61.25873 11.08371 04.68152 51.58295 17.42118 99.00747 66.36125 73.11108):svr,0.0003016625818147176,0.017368436366429697,0.9822020288113186,0.0013033744705707644,0.03610227791387635,0.9256394536471715,0.0021226228703589696,0.046071931480663686,0.8567066037867906,22.412946939468384,0.5753309726715088,0.03125,289.4375
9,Electricity,1~(00.99988 93.64333 31.45782 82.41790 58.83070 47.90694 70.63289 18.05858 16.99798 50.93203):sarima;(01.13001 74.39618 33.31458 23.07014 90.69477 63.28920 02.90491 99.39805 93.20332 01.13001):svr,0.0003016697422473331,0.017368642498690943,0.9822016063486696,0.0013029293476989052,0.03609611263971378,0.9256648489427622,0.002120340101758796,0.046047150853867125,0.8568607082535122,22.660568952560425,0.5766279697418213,0.421875,289.859375
10,Electricity,1~(01.00007 03.76835 64.20073 10.98828 09.73721 37.33630 78.81206 47.77284 20.54463 80.85794):sarima;(01.12763 80.85794 68.01127 36.40328 12.04741 72.84849 30.19580 57.94368 11.25880 10.90100):svr,0.0003016627885631807,0.017368442318273124,0.9822020166132422,0.0013032469469491832,0.03610051172697117,0.9256467291665159,0.0021221814641147587,0.046067140828520696,0.8567364021088223,22.424691915512085,0.5272970199584961,0.0,289.859375
