experiment_num,dataset,method,lookback,hidden_size,num_layers,dropout,learning_rate,best_epoch,training_time_sec,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
5,GAS,LSTM,10,128,2,0.1,0.001,49,1.6281919479370117,0.0022593258393071055,0.04753236622878253,0.8783372624336341,0.008224781047981916,0.09069057860650089,0.6577461874057062,0.003321466273474018,0.057632163532822696,-0.4063016422531509
6,GAS,LSTM,10,128,2,0.1,0.001,55,1.7196249961853027,0.0020818560258806245,0.04562736049653349,0.8878938580168013,0.0077569168017055145,0.08807336034071549,0.6772151946814614,0.0077582700901238965,0.08808104273976267,-2.284834789959544
7,GAS,LSTM,10,128,2,0.1,0.001,69,2.0527169704437256,0.0015997962026936781,0.039997452452546,0.9138523615399889,0.008768879758758608,0.09364229684687689,0.6351048724449079,0.020817671668530414,0.1442833034988124,-7.814157195918376
8,GAS,LSTM,10,128,2,0.1,0.001,92,2.5248990058898926,0.0016067624747798436,0.040084441804518665,0.913477233828045,0.011941016937562924,0.10927496024965154,0.503104271190693,0.026908123399945937,0.16403695742102126,-10.392841297080361
9,GAS,LSTM,10,128,2,0.1,0.001,51,1.6381456851959229,0.0018998772289574542,0.043587581132215336,0.8976932584518872,0.011352502313212352,0.10654812205389803,0.5275938439557825,0.019080201457270157,0.13813110242545,-7.078516063273186
10,GAS,LSTM,10,128,2,0.1,0.001,75,2.167271852493286,0.0019564401825227207,0.04423166493048527,0.8946473924436004,0.008848176761940767,0.09406474771103554,0.6318051248275467,0.016973222308238865,0.13028131987448877,-6.186425644912046
11,GAS,LSTM,10,128,2,0.1,0.001,72,2.1945488452911377,0.0018095796084391842,0.04253915382843416,0.9025557070269677,0.011009231574076385,0.10492488538986537,0.5418782022306052,0.02660395569459046,0.1631071908120254,-10.264057347961895
12,GAS,LSTM,10,128,2,0.1,0.001,88,2.808411121368408,0.001567241295343941,0.03958839849430564,0.9156054150750218,0.010058687447164967,0.1002930079674798,0.5814327325672362,0.015412656581802617,0.1241477208079255,-5.525685488837587
13,GAS,LSTM,10,128,2,0.1,0.001,65,2.034613847732544,0.0024504219121340796,0.04950173645574547,0.8680469045959875,0.012928958113123461,0.11370557643811258,0.46199355566137845,0.03420957169704492,0.18495829718356763,-13.484258727099043
14,GAS,LSTM,10,128,2,0.1,0.001,73,2.198497772216797,0.0017977113159779057,0.04239942589207908,0.9031948042859625,0.008193895997888327,0.09052014139343977,0.6590313919704271,0.024966137625129337,0.15800676449168036,-9.570608716798764
