experiment_num,dataset,method,lookback,best_epoch,training_time_sec,peak_memory_mb,peak_python_memory_mb,gpu_memory_mb,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
5,SUNSPOT,ARIMA_SVR,10,1,0.0008497919770888984,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
6,SUNSPOT,ARIMA_SVR,10,1,0.0008817919879220426,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
7,SUNSPOT,ARIMA_SVR,10,1,0.0008320829947479069,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
8,SUNSPOT,ARIMA_SVR,10,1,0.0008740830235183239,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
9,SUNSPOT,ARIMA_SVR,10,1,0.000861374952364713,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
10,SUNSPOT,ARIMA_SVR,10,1,0.0008711660047993064,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
11,SUNSPOT,ARIMA_SVR,10,1,0.0009035830153152347,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
12,SUNSPOT,ARIMA_SVR,10,1,0.000904166023246944,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
13,SUNSPOT,ARIMA_SVR,10,1,0.000897624995559454,0.0,0.02939,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
14,SUNSPOT,ARIMA_SVR,10,1,0.0008748749969527125,0.0,0.029344,0.0,0.004069107167380504,0.06378955374809032,0.8839520909530385,0.011629501289832998,0.10784016547573079,0.777355827699175,0.015633309336424345,0.12503323292798738,0.755200513891358
