experiment_num,dataset,method,phenotype,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test,gp_runtime_seconds,eval_time_seconds,eval_memory_mb,total_memory_mb
,Electricity,arima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.00030992876355917845,0.017604793766448343,0.9817143274078389,0.0013229001564558508,0.03637169444026289,0.9245254678333379,0.002154586490421368,0.04641752352744993,0.854548813188202,,0.7709498405456543,0.359375,306.40625
,Electricity,arima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.000940611877712794,0.03066939643541741,0.9445042769356584,0.004054103267856093,0.06367184046229615,0.7687039751234723,0.005750634732790196,0.07583293962909651,0.6117878532497895,,0.7690029144287109,0.0,306.40625
,Electricity,sarima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0009477714494941171,0.030785896925282476,0.9440818650756234,0.004041063341977667,0.06356935851475667,0.769447933237287,0.0056872183317498584,0.07541364817955605,0.6160689488733152,,0.7564959526062012,0.0,306.40625
,Electricity,sarima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0004889575641016738,0.022112384857849998,0.9711517000682751,0.0015623566984144794,0.039526658072931986,0.9108639149259795,0.002213703967003155,0.04705001558982903,0.8505579280840918,,0.8377470970153809,0.0,306.40625
,Electricity,sarima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.0003099287635591778,0.017604793766448325,0.9817143274078389,0.0013229001564558488,0.03637169444026287,0.9245254678333379,0.002154586490421382,0.04641752352745008,0.8545488131882011,,0.7651610374450684,0.296875,306.703125
,Electricity,sarima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.0009758208088964021,0.031238130688253454,0.942426964134646,0.004045925959793396,0.06360759357021295,0.7691705095761313,0.00571966284220102,0.07562845259689649,0.6138786944687559,,0.9117550849914551,0.0,306.703125
,GAS,arima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.005677200777425157,0.07534720152351483,0.6913602346187313,0.009933076060759376,0.09966481857084462,0.6263562208090752,0.006666643908170893,0.08164951872589876,0.5141191878771706,,0.9913768768310547,0.0,306.703125
,GAS,arima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0006221208636545329,0.024942350804495812,0.966178536760468,0.004278208966575413,0.06540801913049663,0.839070378937828,0.008237979129772375,0.09076331378796378,0.39959655188439147,,1.029909372329712,0.015625,306.71875
,GAS,arima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.00023878779704583546,0.015452760175639672,0.9870183541950471,0.00442373907683121,0.06651119512406321,0.8335961008743727,0.0047711441739313794,0.06907346939260674,0.6522677020226623,,1.1772100925445557,0.0,306.71875
,GAS,arima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.006340666725944253,0.07962830354807424,0.6552910549794184,0.009983168396399643,0.0999158065393041,0.6244719415100299,0.006650742323910837,0.08155208350441352,0.5152781330346952,,0.9407830238342285,0.890625,307.609375
,GAS,sarima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.005677200777425146,0.07534720152351476,0.6913602346187315,0.00993307606075938,0.09966481857084464,0.6263562208090753,0.00666664390817092,0.08164951872589893,0.5141191878771691,,901.0083680152893,0.046875,307.671875
,GAS,sarima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0005960335283087802,0.02441379790833004,0.9675967689802183,0.004247075443516466,0.06516958986764046,0.8402415012713446,0.008346182460766061,0.09135744337910327,0.39171043661233285,,0.6553301811218262,0.0,307.671875
,GAS,sarima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.0002387877970458316,0.015452760175639547,0.9870183541950472,0.0044237390768312,0.06651119512406313,0.8335961008743733,0.004771144173931349,0.06907346939260652,0.6522677020226648,,0.5600247383117676,0.015625,307.6875
,GAS,sarima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.007125120111011388,0.08441042655390024,0.6126444200951271,0.009972779796920931,0.09986380624090457,0.6248627203126875,0.006660035783286985,0.08160904228874999,0.5146008036840792,,0.500786304473877,0.0,307.6875
,LAKEERIE,arima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0026362710143305644,0.05134462984899749,0.9279117159388616,0.0021114813408366654,0.04595085789010544,0.9191220745563584,0.0014826215014903078,0.03850482439240968,0.9577453442613469,,0.5064058303833008,0.140625,307.828125
,LAKEERIE,arima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.002376772836558203,0.0487521572503023,0.9350076397839113,0.0021683620492698673,0.04656567458192641,0.9169433227924337,0.0014743215393106049,0.03839689491756599,0.9579818928640716,,0.4604489803314209,0.015625,307.84375
,LAKEERIE,arima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.0023498692486542145,0.04847544995824396,0.9357433128146977,0.002112556867311454,0.0459625594077555,0.9190808777205834,0.0014510415376810552,0.03809253913407526,0.9586453720146594,,0.49434494972229004,0.0,307.84375
,LAKEERIE,arima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.003366630437359838,0.05802267175302976,0.907940189010158,0.003112920514302188,0.055793552623060204,0.8807630697944253,0.005903565168026732,0.07683466124104883,0.8317486198905609,,0.5198521614074707,0.0,307.84375
,LAKEERIE,sarima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.002636271007393398,0.05134462978144256,0.927911716128557,0.0021114813408366667,0.04595085789010545,0.9191220745563584,0.0014826215014902978,0.038504824392409556,0.9577453442613472,,0.5456819534301758,0.0,307.84375
,LAKEERIE,sarima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0023714033686632243,0.04869705708421428,0.9351544667697433,0.0021646653425649487,0.046525964176628826,0.9170849209981508,0.0014427308665710256,0.037983297205100894,0.9588822258214863,,0.6008458137512207,0.0,307.84375
,LAKEERIE,sarima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.0023498583240243323,0.04847533727602452,0.9357436115464358,0.0021125556156388423,0.04596254579153381,0.9190809256644994,0.0014510597182195854,0.03809277776980284,0.9586448538700109,,0.6035091876983643,0.0625,307.90625
,LAKEERIE,sarima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.0027478751888691238,0.05242017921439342,0.9248599229354828,0.002213108341890028,0.04704368546245105,0.9152293662215559,0.0022701446367536433,0.047646034848176436,0.9353009652115841,,0.7054777145385742,0.0,307.90625
,Nordic,arima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.002775545631556366,0.05268344741525906,0.9100648092578135,0.0008645627915708795,0.029403448633976245,0.9662392708771188,0.0004366022180892524,0.020895028549615634,0.9695435215351691,,0.8951630592346191,0.828125,308.734375
